asset_id,ifc_name,ifc_class,systems,category
door_access_001,Door_Access_01,IfcDoor,,architectural_shell
equipment_base_type_a,EquipmentPad_AHU_01,IfcFooting,,mechanical_equipment
slab_concrete_base_001,Slab_Concrete_Base,IfcSlab,,architectural_shell
wall_north_001,Wall_North_01,IfcWall,,architectural_shell
wall_south_001,Wall_South_01,IfcWall,,architectural_shell
wall_east_001,Wall_East_01,IfcWall,,architectural_shell
wall_west_001,Wall_West_01,IfcWall,,architectural_shell
sensor_chws_pressure_001,Sensor_CHWS_Pressure_01,IfcSensor,System_CHWS,instrumentation
ahu_coil_001,AHU_Coil_01,IfcCoil,System_SupplyAir;System_CHWS;System_CHWR,mechanical_equipment
equipment_ahu_001,Equipment_AHU_01,IfcUnitaryEquipment,System_SupplyAir;System_ReturnAir,mechanical_equipment
damper_fire_001,Damper_Fire_01,IfcDamper,System_SupplyAir,flow_controller
valve_chws_isolation_001,Valve_CHWS_Isolation_01,IfcValve,System_CHWS,flow_controller
valve_chws_balancing_001,Valve_CHWS_Balancing_01,IfcValve,System_CHWS,flow_controller
valve_chwr_isolation_001,Valve_CHWR_Isolation_01,IfcValve,System_CHWR,flow_controller
valve_chwr_balancing_001,Valve_CHWR_Balancing_01,IfcValve,System_CHWR,flow_controller
pipe_fitting_chws_elbow_001,PipeFitting_CHWS_Elbow_01,IfcPipeFitting,System_CHWS,flow_fitting
pipe_fitting_chwr_elbow_001,PipeFitting_CHWR_Elbow_01,IfcPipeFitting,System_CHWR,flow_fitting
ahu_fan_001,AHU_Fan_01,IfcFan,System_SupplyAir,mechanical_equipment
pump_chws_duty_001,Pump_CHWS_Duty_01,IfcPump,System_CHWS,mechanical_equipment
pump_chws_standby_001,Pump_CHWS_Standby_01,IfcPump,System_CHWS,mechanical_equipment
cable_tray_overhead_001,CableTray_Overhead_01,IfcCableCarrierSegment,System_ElectricalRouting,electrical_routing
cable_tray_drop_001,CableTray_Drop_01,IfcCableCarrierSegment,System_ElectricalRouting,electrical_routing
duct_main_001,Duct_Main_01,IfcDuctSegment,System_SupplyAir,ductwork
duct_branch_001,Duct_Branch_01,IfcDuctSegment,System_SupplyAir,ductwork
duct_return_001,Duct_Return_01,IfcDuctSegment,System_ReturnAir,ductwork
pipe_supply_001,Pipe_Supply_01,IfcPipeSegment,System_CHWS,flow_segment
pipe_return_001,Pipe_Return_01,IfcPipeSegment,System_CHWR,flow_segment
pipe_supply_drop_001,Pipe_Supply_Drop_01,IfcPipeSegment,System_CHWS,flow_segment
pipe_return_drop_001,Pipe_Return_Drop_01,IfcPipeSegment,System_CHWR,flow_segment
air_terminal_supply_001,AirTerminal_SupplyDiffuser_01,IfcAirTerminal,System_SupplyAir,terminal
air_terminal_return_001,AirTerminal_ReturnGrille_01,IfcAirTerminal,System_ReturnAir,terminal
ahu_filter_001,AHU_Filter_01,IfcFilter,System_SupplyAir,mechanical_equipment
equipment_pump_skid_001,Equipment_PumpSkid_01,IfcElementAssembly,System_CHWS,mechanical_equipment
sleeve_wall_penetration_type_a,Sleeve_WallPenetration_01,IfcBuildingElementPart,,penetration
support_pipe_bracket_type_a,Support_PipeBracket_01,IfcMechanicalFastener,,mechanical_support
support_duct_hanger_type_a,Support_DuctHanger_01,IfcMechanicalFastener,,mechanical_support
pipe_clamp_type_a,PipeClamp_TypeA_01,IfcMechanicalFastener,,mechanical_support
plate_mounting_type_a,Plate_Mounting_01,IfcMechanicalFastener,,mechanical_support
clearance_ahu_service_zone_001,Clearance_ServiceZone_AHU_01,IfcVirtualElement,,clearance_zone
room_shell_001,Space_MechanicalRoom_001,IfcSpace,,architectural_shell
