subject_kind,type_id,occurrence_id,format,artifact_path,expected_source,expected_min_x_mm,expected_min_y_mm,expected_min_z_mm,expected_max_x_mm,expected_max_y_mm,expected_max_z_mm,observed_min_x_mm,observed_min_y_mm,observed_min_z_mm,observed_max_x_mm,observed_max_y_mm,observed_max_z_mm,tolerance_mm,max_delta_mm,status,diagnostic
occurrence,cable_tray_overhead_001,cable_tray_overhead_001,dxf,qcad/floor_plan.dxf,ProjectSpec plan bounds on layer E-CABLETRAY,1200,2200,0,4400,2420,0,1200,2200,0,4400,2420,0,0.001,0,PASS,
occurrence,clearance_ahu_service_zone_001,clearance_ahu_service_zone_001,dxf,qcad/floor_plan.dxf,ProjectSpec plan bounds on layer CLEARANCE,650,1700,0,2450,2700,0,650,1700,0,2450,2700,0,0.001,0,PASS,
occurrence,duct_branch_001,duct_branch_001,dxf,qcad/floor_plan.dxf,ProjectSpec plan bounds on layer M-DUCT,2550,2920,0,3200,3280,0,2550,2920,0,3200,3280,0,0.001,0,PASS,
occurrence,duct_main_001,duct_main_001,dxf,qcad/floor_plan.dxf,ProjectSpec plan bounds on layer M-DUCT,900,3300,0,4500,3720,0,900,3300,0,4500,3720,0,0.001,0,PASS,
occurrence,equipment_ahu_001,equipment_ahu_001,dxf,qcad/floor_plan.dxf,ProjectSpec plan bounds on layer M-EQUIP,850,780,0,2350,1630,0,850,780,0,2350,1630,0,0.001,0,PASS,
occurrence,equipment_pump_skid_001,equipment_pump_skid_001,dxf,qcad/floor_plan.dxf,ProjectSpec plan bounds on layer M-EQUIP,3600,650,0,5000,1450,0,3600,650,0,5000,1450,0,0.001,0,PASS,
occurrence,slab_concrete_base_001,slab_concrete_base_001,dxf,qcad/floor_plan.dxf,ProjectSpec plan bounds on layer A-WALL,0,0,0,6000,4200,0,0,0,0,6000,4200,0,0.001,0,PASS,
occurrence,ahu_coil_001,ahu_coil_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,1040,805,500,1200,1605,1260,1040,805,500,1200,1605,1260,0.001,0,PASS,
occurrence,ahu_fan_001,ahu_fan_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,1280,915,500,1700,1435,1020,1280,915,500,1700,1435,1020,0.001,0,PASS,
occurrence,ahu_filter_001,ahu_filter_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,890,805,500,1010,1605,1260,890,805,500,1010,1605,1260,0.001,0,PASS,
occurrence,air_terminal_return_001,air_terminal_return_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,790,3060,1620,1210,3480,1680,790,3060,1620,1210,3480,1680,0.001,0,PASS,
occurrence,air_terminal_supply_001,air_terminal_supply_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,3130,2920,1680,3580,3370,1740,3130,2920,1680,3580,3370,1740,0.001,0,PASS,
occurrence,cable_tray_drop_001,cable_tray_drop_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,4320,2140,1650,4440,2260,2170,4320,2140,1650,4440,2260,2170,0.001,0,PASS,
occurrence,cable_tray_overhead_001,cable_tray_overhead_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,1200,2200,2150,4400,2420,2230,1200,2200,2150,4400,2420,2230,0.001,0,PASS,
occurrence,clearance_ahu_service_zone_001,clearance_ahu_service_zone_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,650,1700,200,2450,2700,2100,650,1700,200,2450,2700,2100,0.001,0,PASS,
occurrence,damper_fire_001,damper_fire_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,2400,3300,1800,2520,3720,2020,2400,3300,1800,2520,3720,2020,0.001,0,PASS,
occurrence,door_access_001,door_access_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,2500,0,200,3500,70,2300,2500,0,200,3500,70,2300,0.001,0,PASS,
occurrence,duct_branch_001,duct_branch_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,2550,2920,1710,3200,3280,1890,2550,2920,1710,3200,3280,1890,0.001,0,PASS,
occurrence,duct_main_001,duct_main_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,900,3300,1800,4500,3720,2020,900,3300,1800,4500,3720,2020,0.001,0,PASS,
occurrence,duct_return_001,duct_return_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,760,3060,1640,2110,3400,1820,760,3060,1640,2110,3400,1820,0.001,0,PASS,
occurrence,equipment_ahu_001,equipment_ahu_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,850,780,360,2350,1630,1460,850,780,360,2350,1630,1460,0.001,0,PASS,
occurrence,equipment_base_type_a,equipment_base_type_a,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,650,580,200,2450,1680,360,650,580,200,2450,1680,360,0.001,0,PASS,
occurrence,equipment_pump_skid_001,equipment_pump_skid_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,3600,650,220,5000,1450,400,3600,650,220,5000,1450,400,0.001,0,PASS,
occurrence,pipe_clamp_type_a,pipe_clamp_type_a,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,1825,2820,1445,1935,2865,1555,1825,2820,1445,1935,2865,1555,0.001,0,PASS,
occurrence,pipe_fitting_chwr_elbow_001,pipe_fitting_chwr_elbow_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,4740,3000,1390,4860,3120,1510,4740,3000,1390,4860,3120,1510,0.001,0,PASS,
occurrence,pipe_fitting_chws_elbow_001,pipe_fitting_chws_elbow_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,4420,2800,1540,4540,2920,1660,4420,2800,1540,4540,2920,1660,0.001,0,PASS,
occurrence,pipe_return_001,pipe_return_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,900,3020,1370,4820,3100,1450,900,3020,1370,4820,3100,1450,0.001,0,PASS,
occurrence,pipe_return_drop_001,pipe_return_drop_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,4780,1280,600,4860,1360,1410,4780,1280,600,4860,1360,1410,0.001,0,PASS,
occurrence,pipe_supply_001,pipe_supply_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,900,2820,1520,4500,2900,1600,900,2820,1520,4500,2900,1600,0.001,0,PASS,
occurrence,pipe_supply_drop_001,pipe_supply_drop_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,4460,1280,760,4540,1360,1560,4460,1280,760,4540,1360,1560,0.001,0,PASS,
occurrence,plate_mounting_type_a,plate_mounting_type_a,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,3380,2640,200,3640,2800,212,3380,2640,200,3640,2800,212,0.001,0,PASS,
occurrence,pump_chws_duty_001,pump_chws_duty_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,4050,760,390,4510,1100,730,4050,760,390,4510,1100,730,0.001,0,PASS,
occurrence,pump_chws_standby_001,pump_chws_standby_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,4050,990,390,4510,1330,730,4050,990,390,4510,1330,730,0.001,0,PASS,
occurrence,room_shell_001,room_shell_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,0,0,0,6000,4200,3200,0,0,0,6000,4200,3200,0.001,0,PASS,
occurrence,sensor_chws_pressure_001,sensor_chws_pressure_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,2045,2805,1650,2155,2915,1730,2045,2805,1650,2155,2915,1730,0.001,0,PASS,
occurrence,slab_concrete_base_001,slab_concrete_base_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,0,0,0,6000,4200,200,0,0,0,6000,4200,200,0.001,0,PASS,
occurrence,sleeve_wall_penetration_type_a,sleeve_wall_penetration_type_a,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,5800,2515,1355,6020,2685,1525,5800,2515,1355,6020,2685,1525,0.001,0,PASS,
occurrence,support_duct_hanger_type_a,support_duct_hanger_type_a,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,1950,3260,1750,2470,3320,2270,1950,3260,1750,2470,3320,2270,0.001,0,PASS,
occurrence,support_pipe_bracket_type_a,support_pipe_bracket_type_a,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,1800,2780,200,2020,2900,500,1800,2780,200,2020,2900,500,0.001,0,PASS,
occurrence,valve_chwr_balancing_001,valve_chwr_balancing_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,3650,2980,1330,3790,3140,1490,3650,2980,1330,3790,3140,1490,0.001,0,PASS,
occurrence,valve_chwr_isolation_001,valve_chwr_isolation_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,3020,2980,1330,3160,3140,1490,3020,2980,1330,3160,3140,1490,0.001,0,PASS,
occurrence,valve_chws_balancing_001,valve_chws_balancing_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,3120,2780,1480,3260,2940,1640,3120,2780,1480,3260,2940,1640,0.001,0,PASS,
occurrence,valve_chws_isolation_001,valve_chws_isolation_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,2550,2780,1480,2690,2940,1640,2550,2780,1480,2690,2940,1640,0.001,0,PASS,
occurrence,wall_east_001,wall_east_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,5800,0,200,6000,4200,3200,5800,0,200,6000,4200,3200,0.001,0,PASS,
occurrence,wall_north_001,wall_north_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,0,4000,200,6000,4200,3200,0,4000,200,6000,4200,3200,0.001,0,PASS,
occurrence,wall_south_001,wall_south_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,0,0,200,6000,200,3200,0,0,200,6000,200,3200,0.001,0,PASS,
occurrence,wall_west_001,wall_west_001,ifc,bim/mechanical_room.ifc,ProjectSpec occurrence placement and dimensions,0,0,200,200,4200,3200,0,0,200,200,4200,3200,0.001,0,PASS,
asset_type,cable_tray_overhead_001,cable_tray_overhead_001,step,exports/step/cable_tray_overhead_001.step,ProjectSpec asset-type parameters through independent envelope adapter,-450,-110,-2,450,110,80,-450,-110,-2,450,110,80,0.001,0,PASS,
asset_type,duct_main_001,duct_main_001,step,exports/step/duct_main_001.step,ProjectSpec asset-type parameters through independent envelope adapter,-476,-228,-128,476,228,128,-476,-228,-128,476,228,128,0.001,0,PASS,
asset_type,equipment_base_type_a,equipment_base_type_a,step,exports/step/equipment_base_type_a.step,ProjectSpec asset-type parameters through independent envelope adapter,-600,-400,-80,600,400,80,-600,-400,-80,600,400,80,0.001,0,PASS,
asset_type,equipment_pump_skid_001,equipment_pump_skid_001,step,exports/step/equipment_pump_skid_001.step,ProjectSpec asset-type parameters through independent envelope adapter,-585,-260,0,585,260,180,-585,-260,-0,585,260,180,0.001,0,PASS,
asset_type,pipe_clamp_type_a,pipe_clamp_type_a,step,exports/step/pipe_clamp_type_a.step,ProjectSpec asset-type parameters through independent envelope adapter,-72,-40,0,72,40,45,-72,-40,0,72,40,45,0.001,0,PASS,
asset_type,plate_mounting_type_a,plate_mounting_type_a,step,exports/step/plate_mounting_type_a.step,ProjectSpec asset-type parameters through independent envelope adapter,-130,-80,-6,130,80,6,-130,-80,-6,130,80,6,0.001,0,PASS,
asset_type,sleeve_wall_penetration_type_a,sleeve_wall_penetration_type_a,step,exports/step/sleeve_wall_penetration_type_a.step,ProjectSpec asset-type parameters through independent envelope adapter,-95,-95,0,95,95,200,-95,-95,0,95,95,200,0.001,0,PASS,
asset_type,support_duct_hanger_type_a,support_duct_hanger_type_a,step,exports/step/support_duct_hanger_type_a.step,ProjectSpec asset-type parameters through independent envelope adapter,-270,-114,-4,270,114,524,-270,-114,-4,270,114,524,0.001,0,PASS,
asset_type,support_pipe_bracket_type_a,support_pipe_bracket_type_a,step,exports/step/support_pipe_bracket_type_a.step,ProjectSpec asset-type parameters through independent envelope adapter,-110,-60,-8,110,60,333,-110,-60,-8,110,60,333,0.001,0,PASS,
project_assembly,room_shell_001,room_shell_001,step,exports/step/mechanical_room_assembly.step,Legacy FreeCAD decomposition awaiting ProjectSpec adapter,,,,,,,,,,,,,0.001,,EXCLUDED,The assembly combines many legacy FreeCAD primitives; it is explicitly outside v1 observed-envelope certification until its decomposition adapter is complete.
asset_type,cable_tray_overhead_001,cable_tray_overhead_001,stl,exports/stl/cable_tray_overhead_001.stl,ProjectSpec asset-type parameters through independent envelope adapter,-450,-110,-2,450,110,80,-450,-110,-2,450,110,80,0.5,0,PASS,
asset_type,duct_main_001,duct_main_001,stl,exports/stl/duct_main_001.stl,ProjectSpec asset-type parameters through independent envelope adapter,-476,-228,-128,476,228,128,-476,-228,-128,476,228,128,0.5,0,PASS,
asset_type,equipment_base_type_a,equipment_base_type_a,stl,exports/stl/equipment_base_type_a.stl,ProjectSpec asset-type parameters through independent envelope adapter,-600,-400,-80,600,400,80,-600,-400,-80,600,400,80,0.5,0,PASS,
asset_type,equipment_pump_skid_001,equipment_pump_skid_001,stl,exports/stl/equipment_pump_skid_001.stl,ProjectSpec asset-type parameters through independent envelope adapter,-585,-260,0,585,260,180,-585,-260,0,585,260,180,0.5,0,PASS,
asset_type,openscad_bracket_plate_type_b,,stl,exports/stl/openscad_bracket_plate_type_b.stl,ProjectSpec asset-type parameters through reviewed OpenSCAD envelope adapter,-90,-45,-5,90,45,5,-90,-45,-5,90,45,5,0.5,0,PASS,Reusable type has no placed occurrence in ProjectSpec v1
asset_type,openscad_cable_tray_segment_type_b,,stl,exports/stl/openscad_cable_tray_segment_type_b.stl,ProjectSpec asset-type parameters through reviewed OpenSCAD envelope adapter,-250,-80,-2,250,80,60,-250,-80,-2,250,80,60,0.5,0,PASS,Reusable type has no placed occurrence in ProjectSpec v1
asset_type,openscad_duct_connector_type_b,,stl,exports/stl/openscad_duct_connector_type_b.stl,ProjectSpec asset-type parameters through reviewed OpenSCAD envelope adapter,-30,-195,-105,30,195,105,-30,-195,-105,30,195,105,0.5,0,PASS,Reusable type has no placed occurrence in ProjectSpec v1
asset_type,openscad_pipe_clamp_type_b,,stl,exports/stl/openscad_pipe_clamp_type_b.stl,ProjectSpec asset-type parameters through reviewed OpenSCAD envelope adapter,-59,-33,0,59,33,35,-59,-33,0,59,33,35,0.5,0,PASS,Reusable type has no placed occurrence in ProjectSpec v1
asset_type,pipe_clamp_type_a,pipe_clamp_type_a,stl,exports/stl/pipe_clamp_type_a.stl,ProjectSpec asset-type parameters through independent envelope adapter,-72,-40,0,72,40,45,-72,-40,0,72,40,45,0.5,0,PASS,
asset_type,plate_mounting_type_a,plate_mounting_type_a,stl,exports/stl/plate_mounting_type_a.stl,ProjectSpec asset-type parameters through independent envelope adapter,-130,-80,-6,130,80,6,-130,-80,-6,130,80,6,0.5,0,PASS,
