relation_id,subject_kind,subject_id,canonical_path,producer,producer_path,relation,expected,actual,unit,tolerance_mm,status,reason
cadquery.cable_tray.height_mm,asset_type,cable_tray_overhead_001,$.asset_types[cable_tray_overhead_001].parameters.height_mm,cadquery.cable_tray,cadquery/cable_tray.py::DEFAULT_PARAMETERS.height_mm,equal,80,80,mm,0.0,passed,
cadquery.cable_tray.hole_diameter_mm,asset_type,cable_tray_overhead_001,$.asset_types[cable_tray_overhead_001].parameters.hole_diameter_mm,cadquery.cable_tray,cadquery/cable_tray.py::DEFAULT_PARAMETERS.hole_diameter_mm,equal,20,20,mm,0.0,passed,
cadquery.cable_tray.hole_pitch_mm,asset_type,cable_tray_overhead_001,$.asset_types[cable_tray_overhead_001].parameters.hole_pitch_mm,cadquery.cable_tray,cadquery/cable_tray.py::DEFAULT_PARAMETERS.hole_pitch_mm,equal,110,110,mm,0.0,passed,
cadquery.cable_tray.length_mm,asset_type,cable_tray_overhead_001,$.asset_types[cable_tray_overhead_001].parameters.length_mm,cadquery.cable_tray,cadquery/cable_tray.py::DEFAULT_PARAMETERS.length_mm,equal,900,900,mm,0.0,passed,
cadquery.cable_tray.thickness_mm,asset_type,cable_tray_overhead_001,$.asset_types[cable_tray_overhead_001].parameters.thickness_mm,cadquery.cable_tray,cadquery/cable_tray.py::DEFAULT_PARAMETERS.thickness_mm,equal,4,4,mm,0.0,passed,
cadquery.cable_tray.width_mm,asset_type,cable_tray_overhead_001,$.asset_types[cable_tray_overhead_001].parameters.width_mm,cadquery.cable_tray,cadquery/cable_tray.py::DEFAULT_PARAMETERS.width_mm,equal,220,220,mm,0.0,passed,
cadquery.duct_hanger.duct_height_mm,asset_type,support_duct_hanger_type_a,$.asset_types[support_duct_hanger_type_a].parameters.duct_height_mm,cadquery.duct_hanger,cadquery/duct_hanger.py::DEFAULT_PARAMETERS.duct_height_mm,equal,220,220,mm,0.0,passed,
cadquery.duct_hanger.duct_width_mm,asset_type,support_duct_hanger_type_a,$.asset_types[support_duct_hanger_type_a].parameters.duct_width_mm,cadquery.duct_hanger,cadquery/duct_hanger.py::DEFAULT_PARAMETERS.duct_width_mm,equal,420,420,mm,0.0,passed,
cadquery.duct_hanger.height_mm,asset_type,support_duct_hanger_type_a,$.asset_types[support_duct_hanger_type_a].parameters.height_mm,cadquery.duct_hanger,cadquery/duct_hanger.py::DEFAULT_PARAMETERS.height_mm,equal,520,520,mm,0.0,passed,
cadquery.duct_hanger.rod_diameter_mm,asset_type,support_duct_hanger_type_a,$.asset_types[support_duct_hanger_type_a].parameters.rod_diameter_mm,cadquery.duct_hanger,cadquery/duct_hanger.py::DEFAULT_PARAMETERS.rod_diameter_mm,equal,12,12,mm,0.0,passed,
cadquery.duct_hanger.strap_thickness_mm,asset_type,support_duct_hanger_type_a,$.asset_types[support_duct_hanger_type_a].parameters.strap_thickness_mm,cadquery.duct_hanger,cadquery/duct_hanger.py::DEFAULT_PARAMETERS.strap_thickness_mm,equal,8,8,mm,0.0,passed,
cadquery.duct_hanger.strap_width_mm,asset_type,support_duct_hanger_type_a,$.asset_types[support_duct_hanger_type_a].parameters.strap_width_mm,cadquery.duct_hanger,cadquery/duct_hanger.py::DEFAULT_PARAMETERS.strap_width_mm,equal,38,38,mm,0.0,passed,
cadquery.equipment_base.bolt_diameter_mm,asset_type,equipment_base_type_a,$.asset_types[equipment_base_type_a].parameters.bolt_diameter_mm,cadquery.equipment_base,cadquery/equipment_base.py::DEFAULT_PARAMETERS.bolt_diameter_mm,equal,18,18,mm,0.0,passed,
cadquery.equipment_base.bolt_offset_mm,asset_type,equipment_base_type_a,$.asset_types[equipment_base_type_a].parameters.bolt_offset_mm,cadquery.equipment_base,cadquery/equipment_base.py::DEFAULT_PARAMETERS.bolt_offset_mm,equal,120,120,mm,0.0,passed,
